epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.904,0.50852,0.95647,1,0.11714,0.0033145,0.0033145,0.0033145
2,33.6497,0.1293,0.99876,1,0.01562,0.0066259,0.0066259,0.0066259
3,48.6334,0.14976,0.93159,1,0.20451,0.00991529,0.00991529,0.00991529
4,63.6857,0.19554,0.83706,1,0.42181,0.009901,0.009901,0.009901
5,78.8467,0.18614,0.79602,1,0.46138,0.009868,0.009868,0.009868
6,94.1979,0.18775,0.9801,1,0.04981,0.009835,0.009835,0.009835
7,109.925,0.14069,0.99378,1,0.01697,0.009802,0.009802,0.009802
8,125.842,0.10896,1,1,0.00323,0.009769,0.009769,0.009769
9,142.53,0.12078,0.97388,1,0.0611,0.009736,0.009736,0.009736
10,159.506,0.07005,0.99751,1,0.01318,0.009703,0.009703,0.009703
11,176.696,0.0823,0.99502,1,0.0112,0.00967,0.00967,0.00967
12,194.23,0.09643,0.99627,1,0.00814,0.009637,0.009637,0.009637
13,213.036,0.04722,0.99876,1,0.00269,0.009604,0.009604,0.009604
14,230.757,0.04957,1,1,0.00131,0.009571,0.009571,0.009571
15,248.324,0.06379,0.99751,1,0.01082,0.009538,0.009538,0.009538
16,268.021,0.05648,0.99876,1,0.00441,0.009505,0.009505,0.009505
17,285.602,0.03668,0.99751,1,0.00639,0.009472,0.009472,0.009472
18,303.677,0.03856,1,1,0.00144,0.009439,0.009439,0.009439
19,320.459,0.04049,1,1,0.0015,0.009406,0.009406,0.009406
20,337.246,0.05145,1,1,0.00017,0.009373,0.009373,0.009373
21,353.872,0.03419,1,1,0.00057,0.00934,0.00934,0.00934
22,371.647,0.0472,0.99627,1,0.00731,0.009307,0.009307,0.009307
23,389.034,0.03181,1,1,0.00082,0.009274,0.009274,0.009274
24,408.834,0.03484,1,1,0.0012,0.009241,0.009241,0.009241
25,428.286,0.02428,0.99876,1,0.00272,0.009208,0.009208,0.009208
26,447.918,0.04752,0.99378,1,0.01339,0.009175,0.009175,0.009175
27,467.239,0.02941,0.99876,1,0.0053,0.009142,0.009142,0.009142
28,486.34,0.02944,0.99876,1,0.00333,0.009109,0.009109,0.009109
29,505.587,0.0264,1,1,0.00149,0.009076,0.009076,0.009076
30,524.216,0.0272,1,1,0.00046,0.009043,0.009043,0.009043
31,543.281,0.02351,1,1,0.00072,0.00901,0.00901,0.00901
32,561.699,0.02878,0.99876,1,0.00225,0.008977,0.008977,0.008977
33,580.11,0.02489,1,1,0.00013,0.008944,0.008944,0.008944
34,598.594,0.03052,1,1,0.00166,0.008911,0.008911,0.008911
35,616.753,0.03413,1,1,0.0006,0.008878,0.008878,0.008878
36,635.101,0.02281,1,1,0.00047,0.008845,0.008845,0.008845
37,653.275,0.01874,1,1,0.00039,0.008812,0.008812,0.008812
38,671.906,0.02071,1,1,0.00089,0.008779,0.008779,0.008779
39,690.267,0.0232,1,1,0.00013,0.008746,0.008746,0.008746
40,708.621,0.01705,1,1,0.0002,0.008713,0.008713,0.008713
41,727.019,0.02985,1,1,0.00024,0.00868,0.00868,0.00868
42,745.327,0.01435,1,1,0.00017,0.008647,0.008647,0.008647
43,763.49,0.0169,1,1,5e-05,0.008614,0.008614,0.008614
44,781.797,0.02414,1,1,0.00031,0.008581,0.008581,0.008581
45,799.978,0.01569,1,1,0.00012,0.008548,0.008548,0.008548
46,818.316,0.01692,1,1,7e-05,0.008515,0.008515,0.008515
47,836.721,0.01592,1,1,0.00018,0.008482,0.008482,0.008482
48,855.082,0.01224,1,1,0.0001,0.008449,0.008449,0.008449
49,873.637,0.01817,1,1,0.00031,0.008416,0.008416,0.008416
50,891.88,0.0114,1,1,2e-05,0.008383,0.008383,0.008383
51,910.205,0.01529,1,1,9e-05,0.00835,0.00835,0.00835
52,928.461,0.01597,1,1,0.00016,0.008317,0.008317,0.008317
53,947.006,0.01999,1,1,0.00011,0.008284,0.008284,0.008284
54,965.098,0.01419,1,1,0.00014,0.008251,0.008251,0.008251
55,983.559,0.02695,0.99876,1,0.00121,0.008218,0.008218,0.008218
56,1001.58,0.02238,1,1,0.00013,0.008185,0.008185,0.008185
57,1020.12,0.02024,0.99876,1,0.00176,0.008152,0.008152,0.008152
58,1038.5,0.01391,1,1,9e-05,0.008119,0.008119,0.008119
59,1056.89,0.01917,1,1,0.00011,0.008086,0.008086,0.008086
60,1075.17,0.01599,1,1,4e-05,0.008053,0.008053,0.008053
61,1093.53,0.02019,1,1,0.0001,0.00802,0.00802,0.00802
62,1112.12,0.01154,1,1,5e-05,0.007987,0.007987,0.007987
63,1130.56,0.01532,1,1,9e-05,0.007954,0.007954,0.007954
64,1149.17,0.01281,1,1,0.00079,0.007921,0.007921,0.007921
65,1167.41,0.01951,1,1,0.00031,0.007888,0.007888,0.007888
66,1185.68,0.01459,1,1,0.0002,0.007855,0.007855,0.007855
67,1204.15,0.01059,1,1,0.0001,0.007822,0.007822,0.007822
68,1222.47,0.0101,1,1,0.00019,0.007789,0.007789,0.007789
69,1240.99,0.00955,1,1,0.00039,0.007756,0.007756,0.007756
70,1259.16,0.01451,1,1,0.00102,0.007723,0.007723,0.007723
71,1277.69,0.00787,1,1,5e-05,0.00769,0.00769,0.00769
72,1295.97,0.01015,1,1,8e-05,0.007657,0.007657,0.007657
73,1314.38,0.00947,0.99876,1,0.00374,0.007624,0.007624,0.007624
74,1332.57,0.00799,1,1,0.00062,0.007591,0.007591,0.007591
75,1350.92,0.00727,1,1,0.00075,0.007558,0.007558,0.007558
76,1369.02,0.00594,1,1,0.00059,0.007525,0.007525,0.007525
77,1387.82,0.00377,1,1,2e-05,0.007492,0.007492,0.007492
78,1406.01,0.00567,1,1,5e-05,0.007459,0.007459,0.007459
79,1424.34,0.01535,1,1,0.00021,0.007426,0.007426,0.007426
80,1442.71,0.06123,1,1,0.00056,0.007393,0.007393,0.007393
81,1460.84,0.01233,1,1,0.00058,0.00736,0.00736,0.00736
82,1479.06,0.01018,1,1,0.00032,0.007327,0.007327,0.007327
83,1497.5,0.00745,1,1,4e-05,0.007294,0.007294,0.007294
84,1515.82,0.01463,1,1,2e-05,0.007261,0.007261,0.007261
85,1533.88,0.0122,0.99876,1,0.00207,0.007228,0.007228,0.007228
86,1552.36,0.04629,1,1,0.00026,0.007195,0.007195,0.007195
87,1570.63,0.01745,1,1,3e-05,0.007162,0.007162,0.007162
88,1588.98,0.02273,1,1,0.00017,0.007129,0.007129,0.007129
89,1607.82,0.01278,1,1,0.00011,0.007096,0.007096,0.007096
90,1626.22,0.026,1,1,0.00018,0.007063,0.007063,0.007063
91,1644.54,0.0143,1,1,0.00012,0.00703,0.00703,0.00703
92,1662.74,0.01719,1,1,8e-05,0.006997,0.006997,0.006997
93,1681,0.00664,1,1,1e-05,0.006964,0.006964,0.006964
94,1699.67,0.01283,1,1,1e-05,0.006931,0.006931,0.006931
95,1717.92,0.01172,1,1,1e-05,0.006898,0.006898,0.006898
96,1736.23,0.01345,1,1,2e-05,0.006865,0.006865,0.006865
97,1754.65,0.0634,1,1,7e-05,0.006832,0.006832,0.006832
98,1772.89,0.0121,1,1,8e-05,0.006799,0.006799,0.006799
99,1791.34,0.0111,1,1,2e-05,0.006766,0.006766,0.006766
100,1809.86,0.00909,1,1,9e-05,0.006733,0.006733,0.006733
101,1828.2,0.00921,1,1,9e-05,0.0067,0.0067,0.0067
102,1846.58,0.01495,1,1,0.00033,0.006667,0.006667,0.006667
103,1865.01,0.01099,1,1,0.00014,0.006634,0.006634,0.006634
104,1883.31,0.00985,1,1,0.00038,0.006601,0.006601,0.006601
105,1901.78,0.00975,1,1,7e-05,0.006568,0.006568,0.006568
106,1920.17,0.01868,1,1,0.00018,0.006535,0.006535,0.006535
107,1938.31,0.01878,1,1,0.00019,0.006502,0.006502,0.006502
108,1956.58,0.00852,1,1,0.00036,0.006469,0.006469,0.006469
